episode,step,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate,cache_overlap,cache_diversity
1.0,0.0,-16.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,2.0,1.0,0.0,0.034482758620689655,0.9655172413793104,0.034482758620689655,0.002331002331002331,0.9976689976689976
1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,8.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,12.0,1.0,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.002331002331002331,0.9976689976689976
1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,14.0,4.0,0.125,0.0,0.875,0.125,0.002331002331002331,0.9976689976689976
1.0,15.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,16.0,1.0,0.0,0.03571428571428571,0.9642857142857143,0.03571428571428571,0.002331002331002331,0.9976689976689976
1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,18.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,20.0,1.0,0.0,0.041666666666666664,0.9583333333333334,0.041666666666666664,0.0021367521367521365,0.9978632478632479
1.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,24.0,1.0,0.0,0.041666666666666664,0.9583333333333334,0.041666666666666664,0.0021367521367521365,0.9978632478632479
1.0,25.0,1.0,0.0,0.05263157894736842,0.9473684210526315,0.05263157894736842,0.0021367521367521365,0.9978632478632479
1.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,39.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,40.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,41.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,42.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,43.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,44.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
