episode,step,reward,local_hit_rate,neighbor_fetch_rate,cloud_fetch_rate,paper_hit_rate,cache_overlap,cache_diversity
1.0,0.0,-15.9,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,3.0,1.0,0.0,0.03333333333333333,0.9666666666666667,0.03333333333333333,0.002331002331002331,0.9976689976689976
1.0,4.0,1.0,0.0,0.0625,0.9375,0.0625,0.002331002331002331,0.9976689976689976
1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,8.0,5.0,0.1,0.1,0.8,0.2,0.002331002331002331,0.9976689976689976
1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,14.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,15.0,4.0,0.1,0.0,0.9,0.1,0.002331002331002331,0.9976689976689976
1.0,16.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,17.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,18.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,19.0,1.0,0.0,0.07142857142857142,0.9285714285714286,0.07142857142857142,0.0021367521367521365,0.9978632478632479
1.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,21.0,1.0,0.0,0.047619047619047616,0.9523809523809523,0.047619047619047616,0.0021367521367521365,0.9978632478632479
1.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,24.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,29.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,32.0,1.0,0.0,0.1,0.9,0.1,0.0021367521367521365,0.9978632478632479
1.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,36.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,37.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0021367521367521365,0.9978632478632479
1.0,39.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,40.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,41.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,42.0,2.0,0.0,0.08695652173913043,0.9130434782608695,0.08695652173913043,0.002331002331002331,0.9976689976689976
1.0,43.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,44.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,45.0,1.0,0.0,0.041666666666666664,0.9583333333333334,0.041666666666666664,0.002331002331002331,0.9976689976689976
1.0,46.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,47.0,1.0,0.0,0.045454545454545456,0.9545454545454546,0.045454545454545456,0.002331002331002331,0.9976689976689976
1.0,48.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,49.0,1.0,0.0,0.05263157894736842,0.9473684210526315,0.05263157894736842,0.002331002331002331,0.9976689976689976
1.0,50.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,51.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,52.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,53.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,54.0,1.0,0.0,0.25,0.75,0.25,0.002331002331002331,0.9976689976689976
1.0,55.0,4.0,0.1111111111111111,0.0,0.8888888888888888,0.1111111111111111,0.002331002331002331,0.9976689976689976
1.0,56.0,3.0,0.0,0.5,0.5,0.5,0.002331002331002331,0.9976689976689976
1.0,57.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,58.0,0.0,0.0,0.0,1.0,0.0,0.002331002331002331,0.9976689976689976
1.0,59.0,1.0,0.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.002331002331002331,0.9976689976689976
